iter	Passed	Remaining
0	5	526
1	6	331
2	8	287
3	9	234
4	11	225
5	12	203
6	14	190
7	15	176
8	16	170
9	18	165
10	19	158
11	20	153
12	22	148
13	23	145
14	24	138
15	29	152
16	30	149
17	31	144
18	32	137
19	33	135
20	35	133
21	37	132
22	38	127
23	39	124
24	44	133
25	46	131
26	47	129
27	49	127
28	50	123
29	52	123
30	54	120
31	59	125
32	60	123
33	62	120
34	63	117
35	65	115
36	68	116
37	70	115
38	72	112
39	74	111
40	75	108
41	76	105
42	77	102
43	78	100
44	80	98
45	81	95
46	83	94
47	89	96
48	90	94
49	91	91
50	93	89
51	94	86
52	95	84
53	96	82
54	97	80
55	98	77
56	104	79
57	107	77
58	108	75
59	109	72
60	110	70
61	113	69
62	115	67
63	118	66
64	119	64
65	121	62
66	124	61
67	125	58
68	126	56
69	127	54
70	134	54
71	136	52
72	137	50
73	138	48
74	139	46
75	142	45
76	143	42
77	145	40
78	146	39
79	148	37
80	149	35
81	151	33
82	152	31
83	154	29
84	156	27
85	157	25
86	159	23
87	161	22
88	163	20
89	164	18
90	166	16
91	167	14
92	169	12
93	170	10
94	172	9
95	173	7
96	174	5
97	176	3
98	177	1
99	179	0
